edad;qx_base_h;lambda_h;qx_base_m;lambda_m
60;0,005416000000000001;0,0167;0,002496;0,0146
61;0,005777;0,0166;0,0025169999999999997;0,0153
62;0,006601;0,0166;0,003013;0,016
63;0,007409;0,0166;0,003521;0,0168
64;0,008194000000000002;0,0168;0,0040030000000000005;0,0176
65;0,008910999999999999;0,0172;0,004423;0,0186
66;0,009531000000000001;0,0176;0,004794;0,0195
67;0,010061;0,0182;0,005163;0,0206
68;0,010551999999999999;0,0187;0,005595;0,0216
69;0,011079;0,0193;0,006103;0,0227
70;0,011719;0,0198;0,006705;0,0237
71;0,012612;0,0202;0,007391;0,0246
72;0,013868;0,0205;0,008173999999999999;0,0254
73;0,015567000000000001;0,0208;0,009128;0,0261
74;0,017722;0,0209;0,010289;0,0266
75;0,020284;0,021;0,011680999999999999;0,027
76;0,023241;0,0209;0,013355;0,0272
77;0,026611999999999997;0,0209;0,015375;0,0272
78;0,030522999999999998;0,0207;0,017783;0,027
79;0,035082;0,0205;0,020596;0,0266
80;0,040352;0,0202;0,023873000000000002;0,0261
81;0,046257;0,0197;0,027628;0,0253
82;0,052812;0,0191;0,031957;0,0243
83;0,059989;0,0184;0,036893999999999996;0,0232
84;0,06772199999999999;0,0175;0,042555;0,022
85;0,075897;0,0166;0,048881;0,0208
86;0,085035;0,0155;0,056521999999999996;0,0193
87;0,094307;0,0143;0,06481100000000001;0,0179
88;0,103542;0,0132;0,073475;0,0164
89;0,112562;0,0121;0,082485;0,0151
90;0,121212;0,011;0,091872;0,0137
91;0,129436;0,01;0,101476;0,0125
92;0,138647;0,009;0,111038;0,0113
93;0,14952500000000002;0,0081;0,120595;0,0102
94;0,16297399999999998;0,0072;0,133252;0,0092
95;0,176804;0,0063;0,14635;0,0083
96;0,19128399999999998;0,0055;0,159909;0,0073
97;0,20690899999999998;0,005;0,17449;0,0064
98;0,222516;0,0045;0,18899700000000003;0,0056
99;0,239354;0,004;0,204589;0,0051
100;0,257569;0,0035;0,221386;0,0046
101;0,27732799999999996;0,003;0,23952600000000002;0,0041
102;0,298825;0,0025;0,25917;0,0036
103;0,322287;0,002;0,280499;0,0031
104;0,347976;0,0015;0,303728;0,0026
105;0,376199;0,001;0,32910300000000003;0,0021
106;0,407314;0,0005;0,35691199999999995;0,0016
107;0,441738;0,0;0,387487;0,0011
108;0,479951;0,0;0,42121600000000003;0,0006
109;0,522492;0,0;0,45854300000000003;0,0001
110;0,5699500000000001;0,0;0,49997;0,0
111;0,622906;0,0;0,5460499999999999;0,0
112;0,6818110000000001;0,0;0,597342;0,0
113;0,7466860000000001;0,0;0,654331;0,0
114;0,816458;0,0;0,717207;0,0
115;0,887536;0,0;0,785402;0,0
116;0,9511609999999999;0,0;0,856585;0,0
117;0,991409;0,0;0,924679;0,0
118;1,0;0,0;1,0;0,0
119;1,0;0,0;1,0;0,0
120;1,0;0,0;1,0;0,0
